kode,nama,nama_latin,asal,kategori,tipe,keterangan,air_g,energi_kal,protein_g,lemak_g,karbo_g,serat_g,abu_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,b_kar_mcg,kar_total_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vit_c_mg,status_energi,status_protein,status_kalsium,status_besi,skor_gizi_anak
GP053,Abon haruwan,-,Daerah Istimewa Yogyakarta,Buah,Mentah (Raw),Abon dari ikan gabus,11.6,513.0,23.7,37.0,21.3,1.4,6.4,25.0,25.0,0.5,61.0,15.0,0.0,0.2,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Cukup,Lebih,Kurang,Kurang,0.2287
GP054,Abon ikan,-,-,Ikan/Kerang/Udang dll,Olahan (Processed),-,6.4,435.0,27.2,20.2,36.1,1.4,10.1,55.0,93.0,1.9,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.1,0.8,24.3,0.0,Kurang,Lebih,Kurang,Kurang,0.23
DR001,"Akar tonjong, segar (Lotus root, fresh)",Nelumbo nucifera,-,Sayuran,Mentah (Raw),-,86.7,45.0,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.0,1.0,0.02,0.2,0.0,83.0,90.0,0.02,0.03,1.9,2.0,Kurang,Kurang,Kurang,Kurang,0.0359
DR002,"Ale,toge, segar",Acacia leucophloea,-,Sayuran,Mentah (Raw),-,90.6,37.0,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.16,0.4,0.0,0.0,35.0,0.02,0.09,0.6,46.0,Kurang,Kurang,Kurang,Kurang,0.041
ER001,"Alpukat, segar (Avocado, fresh)",Persea americana,-,Buah,Mentah (Raw),-,84.3,85.0,0.9,6.5,7.7,1.4,0.6,10.0,20.0,0.9,2.0,278.0,0.2,0.4,0.0,189.0,180.0,0.05,0.08,1.0,13.0,Kurang,Kurang,Kurang,Kurang,0.0295
AP026,Amparan tatak,-,Kalimantan Selatan,Serealia,Olahan (Processed),"Seperti kue talam. Berbahan dasar tepung beras, santan, dan pisang",58.4,191.0,1.3,5.5,34.0,1.4,0.8,55.0,93.0,1.9,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.1,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0746
CP015,Ampas kacang hijau,-,-,Kacang-Kacangan,Olahan (Processed),-,70.6,96.0,3.7,0.6,19.1,2.7,0.6,133.0,150.0,1.3,29.0,201.0,0.2,0.7,0.0,2.0,4.0,0.05,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0746
CP017,Ampas tahu kukus,-,-,Kacang-Kacangan,Olahan (Processed),-,82.5,75.0,4.1,2.1,10.7,5.1,0.6,203.0,60.0,1.3,29.0,201.0,0.2,0.7,0.0,0.0,4.0,0.07,0.1,0.8,0.0,Kurang,Kurang,Kurang,Kurang,0.0881
CP018,"Ampas tahu, kering",-,-,Kacang-Kacangan,Olahan (Processed),-,9.0,414.0,26.6,18.3,41.3,0.0,5.8,19.0,29.0,4.0,45.0,1.0,0.99,2.8,0.0,24.0,4.0,0.2,0.1,0.5,0.0,Kurang,Lebih,Kurang,Cukup,0.2183
CP016,"Ampas tahu, mentah",-,-,Kacang-Kacangan,Olahan (Processed),-,84.1,67.0,5.0,2.1,8.1,4.1,0.6,460.0,88.0,1.0,8.0,184.5,0.17,0.5,0.0,0.0,4.0,0.06,0.02,0.1,0.0,Kurang,Kurang,Cukup,Kurang,0.1542
